,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Tableaux,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
note,44.0,29.0,42.0,31.0,46.0,56.0,34.0,36.0,43.0,45.0,50.0,27.0,39.0,43.0,45.0,40.0,32.0,42.0,36.0,31.0,42.0,39.0,45.0,41.0,32.0,42.0,44.0
wine,28.0,28.0,37.0,40.0,18.0,20.0,30.0,36.0,24.0,28.0,33.0,17.0,24.0,33.0,33.0,26.0,33.0,27.0,27.0,33.0,26.0,26.0,33.0,45.0,38.0,30.0,31.0
merchant,6.0,1.0,4.0,3.0,,3.0,3.0,2.0,2.0,,,4.0,,,2.0,2.0,1.0,5.0,2.0,1.0,,,,,1.0,4.0,1.0
presently,1.0,,1.0,,1.0,,2.0,1.0,1.0,,,,,,3.0,,,1.0,,,,,,1.0,,,
poetic,8.0,9.0,7.0,12.0,13.0,9.0,10.0,13.0,9.0,9.0,6.0,11.0,16.0,9.0,10.0,7.0,8.0,12.0,16.0,8.0,6.0,9.0,7.0,8.0,7.0,5.0,3.0
England,12.0,14.0,11.0,12.0,13.0,11.0,14.0,14.0,15.0,13.0,11.0,11.0,8.0,11.0,15.0,14.0,12.0,9.0,9.0,7.0,14.0,13.0,13.0,19.0,11.0,12.0,8.0
personal,10.0,1.0,2.0,7.0,3.0,5.0,8.0,4.0,3.0,7.0,4.0,7.0,7.0,6.0,4.0,7.0,5.0,3.0,11.0,6.0,,8.0,14.0,9.0,11.0,13.0,7.0
choice,32.0,23.0,23.0,32.0,32.0,29.0,30.0,31.0,36.0,44.0,27.0,28.0,23.0,36.0,53.0,28.0,28.0,27.0,39.0,32.0,31.0,21.0,28.0,19.0,35.0,29.0,47.0
Shalimar,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,
