,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
63,4.0,3.0,2.0,6.0,1.0,8.0,7.0,8.0,6.0,4.0,5.0,3.0,3.0,5.0,6.0,8.0,7.0,5.0,18.0,14.0,5.0,4.0,9.0,3.0,6.0,6.0,6.0
grand,4.0,6.0,4.0,4.0,3.0,7.0,8.0,5.0,10.0,4.0,7.0,6.0,10.0,5.0,3.0,2.0,12.0,3.0,5.0,4.0,5.0,7.0,5.0,10.0,12.0,7.0,7.0
holy,16.0,13.0,14.0,16.0,13.0,18.0,8.0,7.0,8.0,14.0,12.0,10.0,10.0,10.0,14.0,10.0,9.0,13.0,15.0,17.0,9.0,7.0,9.0,9.0,11.0,15.0,11.0
legal,25.0,22.0,16.0,15.0,21.0,14.0,13.0,18.0,11.0,12.0,14.0,12.0,10.0,14.0,17.0,12.0,8.0,11.0,14.0,13.0,9.0,10.0,18.0,12.0,13.0,12.0,18.0
cast,6.0,4.0,8.0,9.0,4.0,9.0,7.0,7.0,10.0,13.0,7.0,6.0,5.0,4.0,9.0,8.0,5.0,9.0,4.0,12.0,8.0,6.0,16.0,9.0,11.0,14.0,11.0
staffer,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,3.0,4.0,1.0,5.0,2.0,8.0,2.0,1.0,2.0,2.0,2.0,1.0,6.0,8.0,5.0,5.0,3.0
pass,13.0,13.0,24.0,24.0,28.0,28.0,21.0,26.0,25.0,32.0,27.0,18.0,28.0,22.0,34.0,39.0,23.0,31.0,30.0,34.0,30.0,29.0,33.0,32.0,25.0,35.0,40.0
my,53.0,39.0,59.0,48.0,48.0,42.0,45.0,40.0,46.0,48.0,45.0,31.0,32.0,51.0,63.0,65.0,59.0,77.0,74.0,69.0,62.0,71.0,67.0,80.0,76.0,78.0,75.0
parent,5.0,3.0,14.0,5.0,5.0,5.0,8.0,10.0,9.0,10.0,7.0,1.0,8.0,10.0,8.0,12.0,7.0,12.0,7.0,7.0,13.0,12.0,10.0,11.0,18.0,12.0,13.0
pudding,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,6.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0
meal,4.0,11.0,11.0,18.0,11.0,10.0,13.0,12.0,8.0,12.0,7.0,6.0,7.0,11.0,15.0,11.0,15.0,14.0,11.0,10.0,12.0,20.0,9.0,24.0,14.0,17.0,15.0
funny,5.0,5.0,9.0,20.0,11.0,10.0,14.0,13.0,21.0,11.0,11.0,12.0,8.0,14.0,16.0,12.0,10.0,15.0,25.0,19.0,11.0,24.0,17.0,8.0,20.0,19.0,23.0
mountain,34.0,28.0,25.0,19.0,26.0,14.0,19.0,20.0,14.0,14.0,15.0,6.0,10.0,25.0,11.0,20.0,18.0,28.0,15.0,19.0,17.0,21.0,25.0,14.0,19.0,12.0,19.0
