,2015
onetime,29
gig,4
for,1466
Wiig,1
;,4169
in,2353
brief,38
keep,28
the,2905
sauce,18
from,268
congeal,1
say,388
_,6039
Simpson,4
low,32
note,39
?,1731
stash,2
bank,31
spider,5
-,2521
Man,19
's,1859
surrogate,1
father,15
commercial,17
leader,43
enjoy,13
swimsuit,1
edition,3
of,3448
New,101
England,13
Journal,2
Medicine,3
Giant,5
Manning,5
club,24
alternative,103
Organization,2
"""",7536
Da,7
Vinci,6
Code,7
Actress,55
Gerwig,1
Mistress,1
America,24
yeah,16
that,515
be,1283
spot,58
put,111
down,231
root,9
oral,3
vote,15
entry,20
an,374
auto,19
film,173
festival,7
like,536
Scotch,1
whisky,1
rib,4
flag,17
sickly,1
look,61
overlord,1
Bhikkhuni,1
tall,6
one,746
rotational,1
speed,16
meas,4
.,757
grill,5
neither,10
improve,3
nor,5
decline,7
figure,102
short,397
half,48
we,42
People,17
obsess,1
with,1059
online,33
round,24
a,2963
corner,6
65,7
Across,100
...,295
or,545
what,342
you,305
must,14
do,271
to,1372
answer,59
clue,35
20-,6
34-,3
43-,1
and,841
56,8
across,259
game,130
patent,2
December,4
31,5
1935,2
psychologist,2
Pinker,1
who,426
write,95
how,86
Mind,2
work,126
word,236
rebuke,4
understand,10
may,165
have,213
mom,13
dad,4
overbearing,1
boss,14
swiftly,1
build,23
home,142
cable,14
channel,19
air,30
Portlandia,1
I,350
tell,27
so,92
Proscription,1
spanish,29
nut,19
Wallop,3
terminus,2
Qingzang,1
railway,1
know,69
authority,12
city,144
near,32
Sparks,1
clutch,2
10,34
Down,62
irish,7
draught,1
see,184
9,10
cosmopolitan,2
e.g.,454
Key,2
longtime,22
partner,57
sketch,6
comedy,27
computer,35
acronym,6
since,46
1960,25
modern,44
civil,8
right,51
initialism,4
they,170
share,18
Escort,1
slangily,18
some,487
pollution,1
plague,4
at,322
1971,12
documentary,3
about,84
Ravi,1
Shankar,6
bridge,11
sitter,3
relative,37
throw,23
audibly,2
floor,13
convenience,7
partly,3
obviate,1
by,283
app,5
got,16
now,53
align,4
texting,1
button,21
Darer,1
cry,111
bear,48
on,891
bayou,1
cause,43
rescheduling,1
insignificant,2
person,51
choice,21
new,38
generation,3
sloganeer,17
once,79
challenge,26
future,18
counsel,1
Bajillions,1
year,73
fly,21
holder,46
harbinger,1
speck,2
Isao,1
Golf,4
Hall,24
Fame,16
head,77
staff,11
Law,8
&,52
order,59
spinoff,7
familiarly,27
huh,4
never,30
would,16
've,10
no,148
(,667
sure,18
thing,102
),655
big,204
ray,11
abroad,10
last,48
performer,14
Woodstock,3
informally,205
letter,151
shape,37
construction,14
piece,61
competent,1
palm,5
starch,1
chutzpah,3
Bloodhound,1
asset,9
Physics,3
Nobelist,9
pioneer,28
quantum,1
mechanic,5
tv,131
monitor,9
Antarctica,1
speak,44
dead,17
old,195
knockoff,3
IBM,1
product,70
vast,5
expanse,5
Everglades,5
transport,14
sinful,2
Federal,1
Reserve,1
chairman,2
under,40
four,45
president,32
sum,10
really,30
cool,15
!,655
many,243
rusher,1
Maestro,2
Zubin,1
shake,16
Moon,11
return,15
Jedi,3
equipment,14
fast,16
food,69
restaurant,23
shrimp,3
football,21
famer,5
nickname,53
befit,3
his,44
elusiveness,1
field,32
Bamako,2
its,77
capital,80
string,11
quartet,8
member,53
lip,10
pucker,3
both,10
your,62
house,37
ten,6
shun,2
part,288
Y.S.L.,1
65-,1
66,8
when,97
sing,31
song,84
shaded,17
square,27
64,7
One-,1
two,112
attire,24
small,70
inlet,5
version,7
Jumping,1
Jehoshaphat,1
Lincoln,5
Gandhi,3
something,117
make,199
difference,3
man,84
name,339
homophone,2
16,10
almost,16
any,29
character,76
The,22
Big,29
Bang,3
Theory,1
Rikki,2
tikki-,2
Yanqui,1
Nix,1
Game,22
Thrones,14
airer,9
center,25
excellence,3
after,153
wye,2
Beelike,2
sale,8
rep,2
maintain,3
2s,2
nondairy,1
coffee,12
additive,8
Ruddiness,1
try,30
avoid,10
getting,2
punch,16
incessantly,4
strike,23
out,254
goof,4
35,19
32,9
1950s,5
counterculture,1
french,76
comic,16
series,39
sell,34
350,1
+,28
million,4
copy,16
worldwide,1
fine,14
init,45
bowling,4
soon,8
grad,10
long,93
time,175
royal,13
Italy,18
still,14
life,40
fruit,33
title,108
adventure,4
excitement,4
crave,1
not,302
these,6
Met,2
card,44
simian,3
cousin,39
55,7
M.L.K.,1
Jr.,6
trading,5
place,159
Japan,11
airport,27
connect,10
flight,22
marquee,1
jazz,20
band,62
Dr.,15
J,3
first,164
pro,27
league,8
screeching,1
baby,34
frozen,15
drink,52
compliment,8
month,18
dud,7
gettysburg,1
opponent,9
Lee,15
bus,4
driver,21
Simpsons,11
planetarium,2
recipe,6
amt,4
money,43
tide,11
over,93
airline,11
rebound,1
as,445
billiard,1
shoot,26
go,235
genetic,6
messenger,4
bang,5
maker,60
72,5
Augusta,2
National,14
Club,6
Stradivari,1
teacher,12
building,21
add,30
Dragon,4
ball,42
z,5
genre,29
original,19
American,16
Idol,4
judge,14
Randy,2
Paula,3
steakhouse,3
british,31
buddy,17
breakfast,15
grain,6
gps,12
manufacturer,7
where,151
unpleasant,5
stick,36
throng,1
Rickman,1
Harry,11
Potter,7
charcoal,2
seller,16
Addams,2
Family,13
toss,5
petal,2
Grant,7
source,72
poke,3
fun,10
why,9
bed,23
mind,18
reading,8
skill,11
Chillaxes,1
destroyer,3
show,123
maneuver,5
Trinity,1
beach,23
volleyball,1
team,48
ego,2
Country,3
mcentire,1
dutch,14
burg,1
org,140
Homeland,6
squid,2
pepperoni,1
sausage,3
slug,3
scandinavian,3
dissuade,1
Leopold,3
Ulysses,2
protagonist,11
brazilian,8
dance,44
popular,46
1980,20
eye,41
catch,37
Kilpatrick,1
ex,5
mayor,5
Detroit,10
Dublin,1
land,59
bouncer,5
child,36
suffer,4
ruminate,1
up,312
job,32
room,26
site,77
postdebate,1
political,18
commentary,1
roadster,4
false,10
Less,4
than,49
300,6
dot,14
per,44
inch,2
commonly,3
Grammy,19
nominate,12
rapper,27
2002,10
hit,187
oh,30
boy,30
n't,147
forget,5
slalom,3
obstacle,7
ready,23
draw,19
skin,12
abnormality,1
mechanical,2
learn,11
distinctive,2
quality,9
York,47
Liberty,4
light,72
away,41
Ram,1
mate,11
suffix,69
differ,2
break,32
Commandments,2
ID,4
faucet,3
slender,2
woodwind,3
aid,31
climb,3
snowy,2
peak,16
mistake,9
Navy,9
special,13
force,18
bin,1
Laden,1
raid,9
JFK,7
Abril,1
mayo,2
oversupply,2
sterling,2
service,27
afternoon,7
set,105
aside,4
later,9
honey,10
allow,6
Singer,20
Del,4
Rey,2
little,73
matter,10
Group,30
candidate,12
run,64
together,41
Arabian,7
Nights,5
voyager,2
Warner,3
danger,9
Morales,8
NYPD,4
Blue,20
dollar,5
division,21
Ghost,1
Mom,2
forte,2
briefly,87
ya,6
before,114
immediately,2
prove,5
wrong,20
frigid,2
Livin,3
',256
1976,7
pig,8
vinegar,2
completely,16
capitalize,2
cancer,1
dress,27
gym,12
shirt,10
window,12
frame,3
war,46
tear,22
syrian,5
just,50
O.K.,1
Ark,3
builder,4
Monica,3
U.S.,62
open,45
champ,9
golfer,13
Michelle,3
Obama,16
signature,6
health,11
law,32
'em,5
tool,49
beam,6
live,41
breathe,6
state,76
below,6
Okla.,3
raconteur,1
bicker,1
Chris,7
Jurassic,3
World,51
Chi,5
town,24
daily,7
language,44
family,30
way,172
Sporty,2
Chevy,3
2013,28
queen,22
let,36
it,549
Casablanca,5
woman,52
train,17
transportation,7
Poe,7
poem,32
conclude,1
her,13
tomb,4
sound,162
sea,33
overseas,7
excited,2
Turkey,6
roast,5
beef,10
synonym,2
anagram,17
Art,2
Deco,6
artist,22
rampage,1
farm,15
tower,12
gear,18
tooth,11
collect,9
merit,3
badge,4
aplomb,1
butter,13
substitute,6
pizazz,2
v,7
cut,46
move,51
unit,87
fat,8
slice,5
loaf,4
bread,18
Aves,2
initial,6
17-,24
23-,6
40-,2
50-,2
63,4
knot,8
Army,10
brass,3
savor,2
take,140
peg,1
Je,1
t'aime,1
discount,4
female,23
toon,6
dollink,1
Boris,2
grackle,1
grebe,1
pp,1
attic,5
horror,9
franchise,4
begin,42
2004,11
