Year,Month,Day,Weekday,Direction,Line,Hint,Answer,Author,Editor,PuzTitle,PuzClue,NumRows,NumCols,NumWords,NumBlocks,MissingLetters
1995,1,6,Friday,Across,1,Karate blow,CHOP,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Across,5,O'Neill specialty,DRAMA,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Across,10,Suffer consequences,PAY,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Across,13,Coleridge poem,LOVE,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Across,14,Tyr; Balder; etc.,AESIR,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Across,15,Magic incantation,RUNE,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Across,16,Start of quip,IRATEMAILCLERKS,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Across,19,Amigo,PAL,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Across,20,Arp art,DADA,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Across,21,Boxer Griffith,EMILE,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Across,22,Hard to corner,CAGY,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Across,23,Arrogates,ASSUMES,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Across,25,Strauss opera,SALOME,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Across,28,Phylum subdivision,CLASS,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
