,Date,Weekday,BlockDensity,OtherPuzAns,AnswerLength,WeekdayNum
0,1994-01-01,Saturday,16.88888888888889,3053,5.666666666666667,5
1,1994-01-02,Sunday,20.03780718336484,11698,4.976470588235294,6
2,1994-01-03,Monday,18.666666666666668,6666,4.815789473684211,0
3,1994-01-04,Tuesday,16.0,6472,4.846153846153846,1
4,1994-01-05,Wednesday,16.88888888888889,6255,4.675,2
5,1994-01-06,Thursday,16.88888888888889,7135,4.794871794871795,3
6,1994-01-07,Friday,18.666666666666668,6454,4.6923076923076925,4
7,1994-01-08,Saturday,16.0,7512,4.846153846153846,5
8,1994-01-09,Sunday,17.687074829931973,8636,5.185714285714286,6
9,1994-01-10,Monday,16.444444444444446,4841,5.371428571428571,0
10,1994-01-11,Tuesday,17.77777777777778,6745,4.743589743589744,1
11,1994-01-12,Wednesday,17.77777777777778,5684,4.743589743589744,2
12,1994-01-13,Thursday,16.88888888888889,7226,4.794871794871795,3
13,1994-01-14,Friday,15.555555555555555,2598,5.428571428571429,4
14,1994-01-15,Saturday,14.666666666666666,3323,5.485714285714286,5
15,1994-01-16,Sunday,15.873015873015872,7827,5.3768115942028984,6
16,1994-01-17,Monday,17.77777777777778,5942,5.0,0
17,1994-01-18,Tuesday,16.0,3991,5.108108108108108,1
18,1994-01-19,Wednesday,16.88888888888889,4865,4.794871794871795,2
19,1994-01-20,Thursday,16.88888888888889,5590,4.921052631578948,3
20,1994-01-21,Friday,22.22222222222222,5126,4.72972972972973,4
21,1994-01-22,Saturday,16.0,6468,4.846153846153846,5
22,1994-01-23,Sunday,17.687074829931973,8968,5.185714285714286,6
23,1994-01-24,Monday,15.11111111111111,5900,4.897435897435898,0
24,1994-01-25,Tuesday,14.222222222222221,4842,5.216216216216216,1
25,1994-01-26,Wednesday,19.555555555555557,4787,4.641025641025641,2
26,1994-01-27,Thursday,16.88888888888889,6286,4.794871794871795,3
27,1994-01-28,Friday,17.333333333333336,4676,5.027027027027027,4
28,1994-01-29,Saturday,14.222222222222221,2983,5.514285714285714,5
29,1994-01-30,Sunday,17.391304347826086,9270,5.2023809523809526,6
30,1994-01-31,Monday,17.77777777777778,5406,4.868421052631579,0
31,1994-02-01,Tuesday,16.88888888888889,6940,4.675,1
32,1994-02-02,Wednesday,18.666666666666668,7467,4.815789473684211,2
33,1994-02-03,Thursday,20.88888888888889,4697,4.944444444444445,3
34,1994-02-04,Friday,11.11111111111111,2393,5.882352941176471,4
35,1994-02-05,Saturday,17.333333333333336,4837,5.027027027027027,5
36,1994-02-06,Sunday,16.780045351473923,8038,5.318840579710145,6
37,1994-02-07,Monday,20.444444444444446,6478,4.7105263157894735,0
38,1994-02-08,Tuesday,16.88888888888889,6409,4.921052631578948,1
39,1994-02-09,Wednesday,13.333333333333334,3780,5.416666666666667,2
40,1994-02-10,Thursday,16.444444444444446,5255,5.222222222222222,3
41,1994-02-11,Friday,16.88888888888889,6475,4.794871794871795,4
42,1994-02-12,Saturday,13.777777777777779,3846,5.542857142857143,5
43,1994-02-13,Sunday,18.594104308390023,8176,5.056338028169014,6
44,1994-02-14,Monday,16.0,5894,5.358974358974359,0
45,1994-02-15,Tuesday,19.555555555555557,6033,5.027777777777778,1
46,1994-02-16,Wednesday,18.666666666666668,6425,4.6923076923076925,2
47,1994-02-17,Thursday,16.88888888888889,2750,5.666666666666667,3
48,1994-02-18,Friday,16.0,5520,4.846153846153846,4
49,1994-02-19,Saturday,15.11111111111111,2832,5.787878787878788,5
50,1994-02-20,Sunday,16.3265306122449,8984,5.197183098591549,6
51,1994-02-21,Monday,15.555555555555555,4371,5.277777777777778,0
52,1994-02-22,Tuesday,16.88888888888889,6398,4.794871794871795,1
53,1994-02-23,Wednesday,14.222222222222221,4740,5.216216216216216,2
54,1994-02-24,Thursday,17.77777777777778,5006,4.743589743589744,3
55,1994-02-25,Friday,19.555555555555557,6700,4.641025641025641,4
56,1994-02-26,Saturday,11.555555555555555,3289,5.685714285714286,5
57,1994-02-27,Sunday,17.01323251417769,8835,5.428571428571429,6
58,1994-02-28,Monday,19.555555555555557,6016,4.891891891891892,0
59,1994-03-01,Tuesday,20.444444444444446,4914,4.589743589743589,1
60,1994-03-02,Wednesday,18.666666666666668,6093,4.6923076923076925,2
61,1994-03-03,Thursday,16.444444444444446,6353,4.947368421052632,3
62,1994-03-04,Friday,18.666666666666668,4695,5.228571428571429,4
63,1994-03-05,Saturday,14.222222222222221,4395,5.078947368421052,5
64,1994-03-06,Sunday,15.873015873015872,8396,5.3768115942028984,6
65,1994-03-07,Monday,17.77777777777778,4193,5.0,0
66,1994-03-08,Tuesday,16.88888888888889,7001,4.921052631578948,1
67,1994-03-09,Wednesday,17.77777777777778,5557,4.868421052631579,2
68,1994-03-10,Thursday,17.333333333333336,5217,4.769230769230769,3
69,1994-03-11,Friday,14.666666666666666,6208,5.1891891891891895,4
70,1994-03-12,Saturday,16.0,3465,5.4,5
71,1994-03-13,Sunday,16.780045351473923,9153,5.242857142857143,6
72,1994-03-14,Monday,16.0,4196,4.973684210526316,0
73,1994-03-15,Tuesday,18.666666666666668,4739,4.815789473684211,1
74,1994-03-16,Wednesday,16.88888888888889,5009,5.054054054054054,2
75,1994-03-17,Thursday,18.666666666666668,4856,4.815789473684211,3
76,1994-03-18,Friday,16.88888888888889,3447,5.3428571428571425,4
77,1994-03-19,Saturday,14.666666666666666,4098,5.333333333333333,5
78,1994-03-20,Sunday,15.419501133786847,8553,5.328571428571428,6
79,1994-03-21,Monday,17.77777777777778,6834,4.743589743589744,0
80,1994-03-22,Tuesday,16.88888888888889,7145,4.794871794871795,1
81,1994-03-23,Wednesday,16.444444444444446,5241,5.081081081081081,2
82,1994-03-24,Thursday,17.77777777777778,4710,5.285714285714286,3
83,1994-03-25,Friday,17.77777777777778,4919,4.743589743589744,4
84,1994-03-26,Saturday,18.22222222222222,3141,5.75,5
85,1994-03-27,Sunday,16.780045351473923,7522,5.318840579710145,6
86,1994-03-28,Monday,16.444444444444446,4131,5.222222222222222,0
87,1994-03-29,Tuesday,16.88888888888889,5631,4.921052631578948,1
88,1994-03-30,Wednesday,17.77777777777778,5479,4.743589743589744,2
89,1994-03-31,Thursday,15.11111111111111,5670,5.026315789473684,3
90,1994-04-01,Friday,18.666666666666668,5249,4.815789473684211,4
91,1994-04-02,Saturday,16.0,2614,5.7272727272727275,5
92,1994-04-03,Sunday,18.594104308390023,8910,5.128571428571429,6
93,1994-04-04,Monday,18.666666666666668,6039,4.6923076923076925,0
94,1994-04-05,Tuesday,16.0,4606,4.973684210526316,1
95,1994-04-06,Wednesday,16.88888888888889,6037,4.794871794871795,2
96,1994-04-07,Thursday,12.88888888888889,3662,5.6,3
97,1994-04-08,Friday,16.0,4266,5.108108108108108,4
98,1994-04-09,Saturday,14.666666666666666,2409,5.818181818181818,5
99,1994-04-10,Sunday,16.257088846880908,11796,5.211764705882353,6
100,1994-04-11,Monday,16.88888888888889,6485,5.194444444444445,0
101,1994-04-12,Tuesday,17.333333333333336,5301,4.894736842105263,1
102,1994-04-13,Wednesday,16.88888888888889,5743,4.921052631578948,2
103,1994-04-14,Thursday,14.222222222222221,4743,5.216216216216216,3
104,1994-04-15,Friday,19.555555555555557,5128,4.7631578947368425,4
105,1994-04-16,Saturday,18.22222222222222,6148,4.972972972972973,5
106,1994-04-17,Sunday,17.233560090702948,8606,5.140845070422535,6
107,1994-04-18,Monday,16.444444444444446,2712,5.529411764705882,0
108,1994-04-19,Tuesday,15.11111111111111,3036,5.457142857142857,1
109,1994-04-20,Wednesday,17.333333333333336,3838,5.166666666666667,2
110,1994-04-21,Thursday,16.88888888888889,5275,4.921052631578948,3
111,1994-04-22,Friday,17.77777777777778,5832,5.0,4
112,1994-04-23,Saturday,13.333333333333334,3020,5.571428571428571,5
113,1994-04-24,Sunday,15.646258503401361,6482,5.391304347826087,6
114,1994-04-25,Monday,14.222222222222221,3801,5.216216216216216,0
115,1994-04-26,Tuesday,16.0,5188,4.846153846153846,1
116,1994-04-27,Wednesday,16.0,4723,5.108108108108108,2
117,1994-04-28,Thursday,16.88888888888889,7501,4.794871794871795,3
118,1994-04-29,Friday,14.666666666666666,2840,5.647058823529412,4
119,1994-04-30,Saturday,15.11111111111111,4284,5.457142857142857,5
120,1994-05-01,Sunday,17.687074829931973,10746,5.185714285714286,6
121,1994-05-02,Monday,15.555555555555555,4949,4.871794871794871,0
122,1994-05-03,Tuesday,16.0,4100,5.108108108108108,1
123,1994-05-04,Wednesday,17.77777777777778,6679,4.868421052631579,2
124,1994-05-05,Thursday,16.88888888888889,4197,5.054054054054054,3
125,1994-05-06,Friday,15.11111111111111,4518,5.457142857142857,4
126,1994-05-07,Saturday,18.22222222222222,3171,5.6,5
127,1994-05-08,Sunday,16.780045351473923,8091,5.318840579710145,6
128,1994-05-09,Monday,19.11111111111111,6659,4.666666666666667,0
129,1994-05-10,Tuesday,15.11111111111111,4647,5.162162162162162,1
130,1994-05-11,Wednesday,17.77777777777778,4989,4.868421052631579,2
131,1994-05-12,Thursday,15.555555555555555,3817,5.277777777777778,3
132,1994-05-13,Friday,18.666666666666668,2573,6.1,4
133,1994-05-14,Saturday,14.222222222222221,2999,5.848484848484849,5
134,1994-05-15,Sunday,16.780045351473923,8576,5.242857142857143,6
135,1994-05-16,Monday,16.444444444444446,5885,4.7,0
136,1994-05-17,Tuesday,15.555555555555555,5926,5.0,1
137,1994-05-18,Wednesday,16.88888888888889,2440,5.666666666666667,2
138,1994-05-19,Thursday,15.555555555555555,6167,5.0,3
139,1994-05-20,Friday,16.0,3561,5.4,4
140,1994-05-21,Saturday,14.666666666666666,2451,5.485714285714286,5
141,1994-05-22,Sunday,17.391304347826086,12418,5.2023809523809526,6
142,1994-05-23,Monday,18.666666666666668,7385,4.6923076923076925,0
143,1994-05-24,Tuesday,16.444444444444446,4597,5.222222222222222,1
144,1994-05-25,Wednesday,16.88888888888889,4734,5.194444444444445,2
145,1994-05-26,Thursday,16.0,4531,4.973684210526316,3
146,1994-05-27,Friday,19.555555555555557,3413,5.605263157894737,4
147,1994-05-28,Saturday,13.333333333333334,2762,5.571428571428571,5
148,1994-05-29,Sunday,15.873015873015872,9227,5.3,6
149,1994-05-30,Monday,18.666666666666668,6048,4.6923076923076925,0
150,1994-05-31,Tuesday,16.0,5772,4.846153846153846,1
151,1994-06-01,Wednesday,16.0,6098,4.973684210526316,2
152,1994-06-02,Thursday,14.666666666666666,3481,5.333333333333333,3
153,1994-06-03,Friday,18.666666666666668,6512,4.945945945945946,4
154,1994-06-04,Saturday,14.222222222222221,3307,5.514285714285714,5
155,1994-06-05,Sunday,13.378684807256235,4691,5.536231884057971,6
156,1994-06-06,Monday,14.222222222222221,5481,5.216216216216216,0
157,1994-06-07,Tuesday,16.444444444444446,5713,4.947368421052632,1
158,1994-06-08,Wednesday,16.444444444444446,5745,5.081081081081081,2
159,1994-06-09,Thursday,17.77777777777778,4444,5.0,3
160,1994-06-10,Friday,17.333333333333336,4951,4.769230769230769,4
161,1994-06-11,Saturday,14.222222222222221,3206,5.514285714285714,5
162,1994-06-12,Sunday,16.099773242630384,8049,5.36231884057971,6
163,1994-06-13,Monday,19.555555555555557,6117,4.891891891891892,0
164,1994-06-14,Tuesday,18.666666666666668,5853,4.945945945945946,1
165,1994-06-15,Wednesday,16.444444444444446,2830,5.371428571428571,2
166,1994-06-16,Thursday,17.77777777777778,3788,5.285714285714286,3
167,1994-06-17,Friday,19.11111111111111,5861,4.918918918918919,4
168,1994-06-18,Saturday,12.444444444444445,1872,6.15625,5
169,1994-06-20,Monday,18.666666666666668,5409,4.6923076923076925,0
170,1994-06-21,Tuesday,16.0,6220,4.846153846153846,1
171,1994-06-22,Wednesday,16.444444444444446,3365,5.222222222222222,2
172,1994-06-23,Thursday,15.11111111111111,6264,4.897435897435898,3
173,1994-06-24,Friday,16.0,4546,5.108108108108108,4
174,1994-06-25,Saturday,13.333333333333334,2666,5.571428571428571,5
175,1994-06-26,Sunday,17.913832199546487,12054,5.36,6
176,1994-06-27,Monday,16.0,5939,4.846153846153846,0
177,1994-06-28,Tuesday,17.77777777777778,5374,4.868421052631579,1
178,1994-06-29,Wednesday,18.22222222222222,3856,5.111111111111111,2
179,1994-06-30,Thursday,13.777777777777779,3769,5.388888888888889,3
180,1994-07-01,Friday,17.77777777777778,3645,5.0,4
181,1994-07-02,Saturday,19.555555555555557,5122,4.891891891891892,5
182,1994-07-03,Sunday,15.500945179584122,9112,5.451219512195122,6
183,1994-07-04,Monday,14.222222222222221,4473,5.216216216216216,0
184,1994-07-05,Tuesday,17.77777777777778,5034,4.868421052631579,1
185,1994-07-06,Wednesday,16.88888888888889,5231,4.794871794871795,2
186,1994-07-07,Thursday,16.88888888888889,5728,4.921052631578948,3
187,1994-07-08,Friday,16.0,2884,5.7272727272727275,4
188,1994-07-09,Saturday,12.88888888888889,3306,5.444444444444445,5
189,1994-07-10,Sunday,19.047619047619047,7589,5.1,6
190,1994-07-11,Monday,18.22222222222222,6296,4.717948717948718,0
191,1994-07-12,Tuesday,16.444444444444446,5761,4.82051282051282,1
192,1994-07-13,Wednesday,19.555555555555557,6240,4.641025641025641,2
193,1994-07-14,Thursday,14.222222222222221,3464,5.514285714285714,3
194,1994-07-15,Friday,16.88888888888889,4663,5.3428571428571425,4
195,1994-07-16,Saturday,16.0,7244,4.973684210526316,5
196,1994-07-17,Sunday,18.140589569160998,9051,5.084507042253521,6
197,1994-07-18,Monday,16.0,4828,4.973684210526316,0
198,1994-07-19,Tuesday,16.88888888888889,5036,4.921052631578948,1
199,1994-07-20,Wednesday,16.88888888888889,6734,4.794871794871795,2
200,1994-07-21,Thursday,16.88888888888889,6122,4.794871794871795,3
201,1994-07-22,Friday,12.88888888888889,2929,5.6,4
202,1994-07-23,Saturday,14.222222222222221,5621,5.361111111111111,5
203,1994-07-24,Sunday,17.687074829931973,8144,5.185714285714286,6
204,1994-07-25,Monday,16.88888888888889,6795,4.794871794871795,0
205,1994-07-26,Tuesday,17.77777777777778,5948,4.868421052631579,1
206,1994-07-27,Wednesday,17.333333333333336,3649,5.314285714285714,2
207,1994-07-28,Thursday,19.555555555555557,4960,4.891891891891892,3
208,1994-07-29,Friday,16.444444444444446,4152,5.184210526315789,4
209,1994-07-30,Saturday,11.555555555555555,2775,5.685714285714286,5
210,1994-07-31,Sunday,15.646258503401361,6513,5.314285714285714,6
211,1994-08-01,Monday,16.0,4476,4.725,0
212,1994-08-02,Tuesday,17.77777777777778,4276,4.868421052631579,1
213,1994-08-03,Wednesday,16.0,5224,5.108108108108108,2
214,1994-08-04,Thursday,18.666666666666668,6367,4.6923076923076925,3
215,1994-08-05,Friday,12.0,3149,5.5,4
216,1994-08-06,Saturday,11.555555555555555,3405,5.685714285714286,5
